State,Most Popular Costume,Latitud,Longitud
Alabama,Mickey Mouse,32.806671,-86.791130
Alaska,Pennywise,61.370716,-152.404419
Arizona,Deadpool,33.729759,-111.431221
Arkansas,Mickey Mouse,34.969704,-92.373123
California,Unicorn,36.116203,-119.681564
Colorado,Star Wars,39.059811,-105.311104
Connecticut,Catwoman,41.597782,-72.755371
Delaware,Poison Ivy,39.318523,-75.507141
District of Columbia,Stranger Things,38.897438,-77.026817
Florida,Baywatch,27.766279,-81.686783
Georgia,Storm Trooper,33.040619,-83.643074
Hawaii,Moana,21.094318,-157.498337
Idaho,Deadpool,44.240459,-114.478828
Illinois,Mickey Mouses,40.349457,-88.986137
Indiana,Mickey Mouse,39.849426,-86.258278
Iowa,Superman,42.011539,-93.210526
Kansas,Wolverine,38.526600,-96.726486
Kentucky,Superhero,37.668140,-84.670067
Louisiana,Princess,31.169546,-91.867805
Maine,Angel,44.693947,-69.381927
Maryland,Deadpool,39.063946,-76.802101
Massachusetts,Storm Trooper,42.230171,-71.530106
Michigan,Wolverine,43.326618,-84.536095
Minnesota,Pumpkin,45.694454,-93.900192
Mississippi,Cheerleader,32.741646,-89.678696
Missouri,Pumpkin,38.456085,-92.288368
Montana,Unicorn,46.921925,-110.454353
Nebraska,Pumpkin,41.125370,-98.268082
Nevada,Catwoman,38.313515,-117.055374
New Hampshire,Ninja,43.452492,-71.563896
New Jersey,TMNT,40.298904,-74.521011
New Mexico,Harley Quinn,34.840515,-106.248482
New York,Storm Trooper,42.165726,-74.948051
North Carolina,Wolverine,35.630066,-79.806419
North Dakota,Wonder Woman,47.528912,-99.784012
Ohio,Tinker Bell,40.388783,-82.764915
Oklahoma,Angel,35.565342,-96.928917
Oregon,Catwoman,44.572021,-122.070938
Pennsylvania,Angel,40.590752,-77.209755
Rhode Island,Batgirl,41.680893,-71.511780
South Carolina,Power Rangers,33.856892,-80.945007
South Dakota,Mad Hatter,44.299782,-99.438828
Tennessee,Catwoman,35.747845,-86.692345
Texas,Power Rangers,31.054487,-97.563461
Utah,Darth Vader,40.150032,-111.862434
Vermont,Unicorn,44.045876,-72.710686
Virginia,1980â€™s,37.769337,-78.169968
Washington,T-Rex,47.400902,-121.490494
West Virginia,Joker,38.491226,-80.954453
Wisconsin,T-Rex,44.268543,-89.616508
Wyoming,Little Red Riding Hood,42.755966,-107.302490
